,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Alejo Véliz,Spurs,FWD,55,0,0,55,0,0,55,0,0,55,0,0,54,0,0,54,0,0,54,1,0,54,1,1,54,8,1,54,0,0,54,0,0,54,0,0,54,4,1,54,0,0,54,2,1,54,0,0,54,1,1,54,0,0,54,20,5,54,8,1,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0
0,Aleksandar Mitrović,Fulham,FWD,75,32,1,75,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0,74,0,0
0,Alex Iwobi,Everton,MID,55,90,2,55,50,1,55,0,0,54,0,0,54,28,1,54,15,1,54,36,1,54,78,2,54,45,1,54,90,2,54,88,2,54,81,1,53,90,9,53,74,2,53,75,14,53,78,6,53,76,2,53,90,2,53,90,2,53,71,2,53,0,0,53,0,0,53,0,0,53,0,0,53,45,1,53,90,10,53,68,3,53,90,10,53,81,3,53,73,2,53,32,1,53,90,2,53,73,6,53,84,2,53,90,2,53,90,3,53,90,2,53,90,2
0,Alex Matos,Chelsea,MID,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,1,1,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Alex Mighten,Nott'm Forest,MID,45,0,0,45,0,0,45,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0
0,Alex Murphy,Newcastle,DEF,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,3,1,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,8,1,39,0,0,39,0,0,39,0,0
0,Alex Scott,Bournemouth,MID,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,49,0,0,49,0,0,49,0,0,49,56,0,49,90,2,49,43,1,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,41,0,49,90,9,49,21,6,49,35,1,49,67,2,49,34,1,49,62,2,49,19,1,49,21,1,49,45,1,49,61,2,49,0,0,49,0,0,49,45,1,49,3,1,49,0,0,49,94,4,49,76,3,49,70,1,49,10,1,49,20,1
0,Alex Telles,Man Utd,DEF,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Alexander Isak,Newcastle,FWD,75,67,13,76,65,2,77,71,2,77,73,2,77,0,0,76,20,5,76,90,6,75,85,13,75,20,1,75,0,0,74,0,0,74,0,0,74,80,8,75,90,2,75,90,2,76,63,2,76,0,0,76,52,1,76,90,7,76,90,6,76,90,6,76,42,1,76,0,0,75,0,0,75,0,0,75,63,2,75,69,8,75,90,6,75,0,0,76,90,15,77,90,8,79,90,2,79,90,12,80,90,2,82,90,13,83,76,7,84,157,4,84,80,14
0,Alexandre Moreno Lopera,Aston Villa,DEF,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,16,1,50,1,1,50,12,1,50,90,10,50,16,1,50,40,0,50,90,1,50,90,7,51,90,-1,51,90,14,51,86,1,51,80,1,52,58,-1,52,78,1,52,32,0,52,62,2,52,62,6,52,19,1,51,1,1,50,10,1,50,0,0,49,0,0,49,1,1,49,0,0,49,0,0
