id,name,position,team,kickoff_time,value,was_home,opponent,gameweek,season,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
329,Alexis Mac Allister,MID,Liverpool,20,62,True,Newcastle,27,2024-25,0.0,0.0,16.0,0.3333333333333333,15.466666666666669,1.0,0.0,3.633333333333333,18.73333333333333,86.66666666666667,0.0,0,0,0.0,0.0,228676.0,2.0,2.3333333333333335,-2474.3333333333335,14801.0,17275.333333333332,0.0,2.0,1.0,2.3333333333333335
330,James McConnell,MID,Liverpool,20,44,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,5786.333333333333,0.0,0.0,-23.333333333333332,178.66666666666666,202.0,0.0,2.0,1.0,2.3333333333333335
331,Tyler Morton,MID,Liverpool,20,44,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,11181.0,0.0,0.0,-522.0,86.66666666666667,608.6666666666666,0.0,2.0,1.0,2.3333333333333335
332,Nathaniel Phillips,DEF,Liverpool,20,40,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,7004.0,0.0,0.0,-63.333333333333336,0.0,63.333333333333336,0.0,2.0,1.0,2.3333333333333335
333,Jarell Quansah,DEF,Liverpool,20,39,True,Newcastle,27,2024-25,0.0,0.0,4.333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5333333333333333,4.2,15.666666666666666,0.0,0,0,0.0,0.0,138074.66666666666,0.6666666666666666,1.0,-7406.666666666667,2685.0,10091.666666666666,0.0,2.0,1.0,2.3333333333333335
334,Rhys Williams,DEF,Liverpool,20,40,True,Newcastle,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,5277.333333333333,0.0,0.0,-47.0,0.0,47.0,0.0,2.0,1.0,2.3333333333333335
335,Andrew Robertson,DEF,Liverpool,20,59,True,Newcastle,27,2024-25,0.0,0.0,12.666666666666666,0.3333333333333333,25.433333333333334,1.0,0.0,4.7,13.800000000000002,84.33333333333333,0.0,0,0,0.0,0.0,498234.6666666667,7.666666666666667,3.0,266.3333333333333,14546.666666666666,14280.333333333334,0.0,2.0,1.0,2.3333333333333335
336,Dominik Szoboszlai,MID,Liverpool,20,63,True,Newcastle,27,2024-25,0.3333333333333333,0.6666666666666666,19.333333333333332,0.3333333333333333,17.099999999999998,1.0,0.3333333333333333,6.533333333333334,23.933333333333334,90.0,0.0,0,0,0.0,0.0,317995.3333333333,24.333333333333332,5.666666666666667,-10396.0,28885.666666666668,39281.666666666664,0.0,2.0,1.0,2.3333333333333335
337,Konstantinos Tsimikas,DEF,Liverpool,20,46,True,Newcastle,27,2024-25,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.2333333333333333,1.0666666666666667,5.333333333333333,0.0,0,0,0.0,0.0,23454.666666666668,1.3333333333333333,0.3333333333333333,-1776.0,675.3333333333334,2451.3333333333335,0.0,2.0,1.0,2.3333333333333335
339,Virgil van Dijk,DEF,Liverpool,20,64,True,Newcastle,27,2024-25,0.0,0.0,12.333333333333334,0.3333333333333333,5.499999999999999,1.0,0.0,3.9,30.933333333333334,90.0,0.0,0,0,0.0,0.0,2605494.0,2.6666666666666665,2.6666666666666665,6279.333333333333,77173.33333333333,70894.0,0.3333333333333333,2.0,1.0,2.3333333333333335
