id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
151,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,-137,12368,0,137,Ângelo Gabriel Borges Damaceno,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,12676.333333333334,0.0,0.0,-181.66666666666666,0.0,181.66666666666666,0.0,2.0,2.0,1.3333333333333333
153,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,42,-173,9444,11,184,Benoît Badiashile,DEF,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,9807.333333333334,0.0,0.0,-285.0,17.666666666666668,302.6666666666667,0.0,2.0,2.0,1.3333333333333333
154,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,39,116,29513,659,543,Lucas Bergström,GKP,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,29254.333333333332,0.0,0.0,-1.0,763.0,764.0,0.0,2.0,2.0,1.3333333333333333
155,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,39,-306,46901,429,735,Marcus Bettinelli,GKP,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,47534.0,0.0,0.0,-451.3333333333333,650.3333333333334,1101.6666666666667,0.0,2.0,2.0,1.3333333333333333
157,2,True,20,24,False,90,0,0,0,1,0,0,0,0,0,0,0,21,20.4,15.8,0.0,3.6,0,0,0,0,0,0,0,49,-4877,126821,3377,8254,Moisés Caicedo Corozo,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,12.333333333333334,0.0,10.200000000000001,2.0,0.0,1.9666666666666666,8.4,86.66666666666667,0.0,0,0,0.0,0.0,137589.0,1.3333333333333333,1.3333333333333333,-6677.333333333333,4792.666666666667,11470.0,0.6666666666666666,2.0,2.0,1.3333333333333333
158,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,-56,13937,402,458,Cesare Casadei,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,14062.666666666666,0.0,0.0,-278.6666666666667,387.3333333333333,666.0,0.0,2.0,2.0,1.3333333333333333
159,1,True,20,24,False,1,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.1,0,0,0,0,0,0,0,44,16494,147195,24495,8001,Trevoh Chalobah,DEF,Chelsea,West Ham,2024-25,2,1,3,0.3333333333333333,1.0,12.0,0.0,8.933333333333334,1.3333333333333333,0.0,3.233333333333333,18.400000000000002,60.0,0.0,0,0,0.0,0.0,118963.0,4.666666666666667,3.0,9905.0,22273.666666666668,12368.666666666666,0.0,2.0,1.3333333333333333,2.0
161,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,47,8,5130,110,102,Carney Chukwuemeka,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,5078.0,0.0,0.0,-36.0,88.66666666666667,124.66666666666667,0.0,2.0,2.0,1.3333333333333333
162,2,True,20,24,False,90,0,0,0,1,0,0,0,0,0,0,0,10,17.6,12.5,4.0,3.4,0,0,0,0,0,0,0,45,-28452,354919,4684,33136,Levi Colwill,DEF,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,-0.3333333333333333,0.0,3.733333333333333,1.6666666666666667,0.0,1.0666666666666667,4.0,60.0,0.0,0,0,0.0,0.0,477197.6666666667,2.6666666666666665,0.3333333333333333,-64865.333333333336,7214.0,72079.33333333333,0.3333333333333333,2.0,2.0,1.3333333333333333
163,2,True,20,24,False,90,0,0,0,1,0,0,0,0,0,0,0,7,16.0,25.6,14.0,5.6,0,0,0,0,0,0,0,51,2456,710207,33402,30946,Marc Cucurella Saseta,DEF,Chelsea,West Ham,2024-25,2,1,3,0.0,0.3333333333333333,8.666666666666666,0.0,12.9,2.0,0.3333333333333333,4.8,17.73333333333333,90.0,0.0,0,0,0.0,0.0,731521.0,17.0,3.6666666666666665,-29640.666666666668,19751.333333333332,49392.0,0.0,2.0,2.0,1.3333333333333333
164,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,-40,6458,0,40,David Datro Fofana,FWD,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,6531.666666666667,0.0,0.0,-38.0,0.0,38.0,0.0,2.0,2.0,1.3333333333333333
165,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,49,-162,16236,241,403,Deivid Washington de Souza Eugênio,FWD,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,16211.333333333334,0.0,0.0,-174.66666666666666,255.33333333333334,430.0,0.0,2.0,2.0,1.3333333333333333
166,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,55,-8,11882,138,146,Kiernan Dewsbury-Hall,MID,Chelsea,West Ham,2024-25,2,1,3,0.3333333333333333,0.3333333333333333,8.333333333333334,0.0,4.6000000000000005,0.3333333333333333,0.0,1.8666666666666665,7.8,25.333333333333332,0.0,0,0,0.0,0.0,11730.666666666666,6.333333333333333,2.0,-203.0,61.666666666666664,264.6666666666667,0.0,2.0,2.0,1.3333333333333333
168,4,True,20,24,False,90,0,1,0,1,0,0,0,1,0,0,0,14,3.6,10.3,9.0,2.3,0,0,0,0,0,0,0,48,-44139,458614,17553,61692,Enzo Fernández,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,13.0,0.0,35.266666666666666,1.6666666666666667,0.0,5.566666666666666,13.466666666666669,60.0,0.0,0,0,0.0,0.0,672494.0,6.666666666666667,1.3333333333333333,-186825.0,10064.0,196889.0,0.0,2.0,2.0,1.3333333333333333
